Description,Amount,Category
AMAZON.COM*DIRECT #112,30.53,Shopping & Retail
,51.04,Shopping & Retail
AMAZON.COM*DIRECT - POSTED,22.61,Shopping & Retail
comcast cable wireless #112,126.8,Utilities & Bills
WAL-MART SUPER CTR CA,142.52,Shopping & Retail
amzn mktp us*am201 - posted,149.81,Shopping & Retail
lyft *ride mon 800-555,106.26,Transportation
target///stores///0029///www.st,68.43,Shopping & Retail
EXXONMOBIL POSTED 800-555,90.09,Transportation
mcdonalds f1029 ca,23.88,Food & Dining
metro transit auth #112,17.01,Transportation
UBER TRIP HELP.UBER,132.47,Transportation
exxonmobil posted ca,79.69,Transportation
target stores 0029 www.st,42.99,Shopping & Retail
METRO TRANSIT AUTH 800-555,71.97,Transportation
SPOTIFY PREMIUM #112,25.49,Utilities & Bills
ATT*BILL PAY 9201 CA,39.25,Utilities & Bills
POWER-&-LIGHT-CO.-CA,103.55,Utilities & Bills
spotify premium ca,68.82,Utilities & Bills
netflix.com sub digtl #112,96.3,Utilities & Bills
GROCERY WHOLEFDS - POSTED,79.08,Food & Dining
TARGET STORES 0029 CA,85.18,Shopping & Retail
COMCAST-CABLE-WIRELESS-#112,105.0,Utilities & Bills
ZARA USA #112,39.37,Shopping & Retail
TARGET*STORES*0029*-*POSTED,72.74,Shopping & Retail
MCDONALDS F1029 800-555,125.89,Food & Dining
dominos pizza - 4920 www.st,105.33,Food & Dining
comcast cable wireless #112,72.49,Utilities & Bills
dominos pizza - 4920 800-555,137.61,Food & Dining
NETFLIX.COM SUB DIGTL,9.0,Utilities & Bills
wal-mart super ctr,128.43,Shopping & Retail
LYFT *RIDE MON CA,18.63,Transportation
UBER///TRIP///HELP.UBER,51.72,Transportation
AMZN MKTP US*AM201 - POSTED,84.31,Shopping & Retail
UBER TRIP HELP.UBER 800-555,25.26,Transportation
METRO TRANSIT AUTH CA,58.19,Transportation
SPOTIFY PREMIUM 800-555,55.44,Utilities & Bills
,67.18,Transportation
EXXONMOBIL POSTED,59.26,Transportation
WAL-MART SUPER CTR WWW.ST,45.86,Shopping & Retail
ZARA USA - POSTED,43.72,Shopping & Retail
AMAZON.COM*DIRECT,75.71,Shopping & Retail
MCDONALDS F1029 800-555,37.11,Food & Dining
NETFLIX.COM SUB DIGTL 800-555,141.91,Utilities & Bills
MCDONALDS///F1029///WWW.ST,86.4,Food & Dining
netflix.com sub digtl,141.55,Utilities & Bills
lyft *ride mon ca,93.78,Transportation
power & light co.,15.72,Utilities & Bills
POWER & LIGHT CO.,95.46,Utilities & Bills
lyft**ride*mon*-*posted,31.52,Transportation
SHELL OIL 92041 WWW.ST,84.71,Transportation
dominos pizza - 4920 www.st,133.01,Food & Dining
AMZN Mktp US*AM201 - POSTED,116.17,Shopping & Retail
CITY WATER DIST CA,59.1,Utilities & Bills
GROCERY WHOLEFDS CA,90.33,Food & Dining
mcdonalds-f1029-800-555,6.11,Food & Dining
WAL-MART SUPER CTR - POSTED,129.5,Shopping & Retail
,130.05,Food & Dining
MCDONALDS F1029 #112,144.28,Food & Dining
AMZN MKTP US*AM201 WWW.ST,9.47,Shopping & Retail
starbucks*cafe*CA,,Food & Dining
SHELL OIL 92041,39.5,Transportation
WAL-MART SUPER CTR #112,125.35,Shopping & Retail
city water dist 800-555,123.5,Utilities & Bills
WAL-MART SUPER CTR #112,114.54,Shopping & Retail
NETFLIX.COM SUB DIGTL #112,110.49,Utilities & Bills
POWER & LIGHT CO. CA,24.18,Utilities & Bills
ZARA USA 800-555,109.61,Shopping & Retail
METRO TRANSIT AUTH 800-555,134.91,Transportation
AMZN Mktp US*AM201,138.91,Shopping & Retail
exxonmobil posted - posted,103.07,Transportation
NETFLIX.COM-SUB-DIGTL-WWW.ST,97.8,Utilities & Bills
EXXONMOBIL POSTED,112.84,Transportation
EXXONMOBIL POSTED,60.89,Transportation
ATT*BILL PAY 9201 WWW.ST,120.6,Utilities & Bills
POWER & LIGHT CO. 800-555,6.6,Utilities & Bills
ATT*BILL PAY 9201,120.3,Utilities & Bills
GROCERY WHOLEFDS #112,56.03,Food & Dining
uber eats* pending 800-555,60.7,Food & Dining
starbucks cafe - POSTED,60.23,Food & Dining
EXXONMOBIL POSTED CA,122.31,Transportation
UBER-TRIP-HELP.UBER-800-555,29.7,Transportation
starbucks cafe CA,8.2,Food & Dining
SHELL OIL 92041 WWW.ST,115.77,Transportation
AMAZON.COM*DIRECT CA,119.82,Shopping & Retail
EXXONMOBIL POSTED 800-555,,Transportation
SPOTIFY PREMIUM CA,97.11,Utilities & Bills
CITY WATER DIST #112,51.25,Utilities & Bills
EXXONMOBIL POSTED #112,136.72,Transportation
MCDONALDS F1029 CA,138.57,Food & Dining
ATT*BILL PAY 9201,,Utilities & Bills
SHELL///OIL///92041///-///POSTED,90.54,Transportation
STARBUCKS COFFEE #4921 #112,16.38,Food & Dining
ATT*BILL PAY 9201 #112,131.83,Utilities & Bills
SPOTIFY PREMIUM WWW.ST,107.56,Utilities & Bills
,18.04,Food & Dining
nike online store - posted,112.17,Shopping & Retail
starbucks cafe #112,23.72,Food & Dining
MCDONALDS F1029,140.73,Food & Dining
UBER TRIP HELP.UBER - POSTED,104.62,Transportation
ZARA USA WWW.ST,143.74,Shopping & Retail
zara usa 800-555,89.51,Shopping & Retail
lyft *ride mon #112,87.74,Transportation
amzn mktp us*am201,93.38,Shopping & Retail
ZARA USA,16.66,Shopping & Retail
METRO TRANSIT AUTH - POSTED,15.38,Transportation
WAL-MART SUPER CTR WWW.ST,73.97,Shopping & Retail
starbucks-coffee-#4921-#112,40.59,Food & Dining
SPOTIFY PREMIUM 800-555,48.88,Utilities & Bills
METRO TRANSIT AUTH WWW.ST,61.87,Transportation
COMCAST CABLE WIRELESS #112,149.1,Utilities & Bills
LYFT *RIDE MON - POSTED,47.7,Transportation
shell oil 92041 www.st,105.93,Transportation
NETFLIX.COM SUB DIGTL WWW.ST,32.73,Utilities & Bills
STARBUCKS COFFEE #4921,83.51,Food & Dining
CITY WATER DIST WWW.ST,83.67,Utilities & Bills
WAL-MART SUPER CTR #112,,Shopping & Retail
att*bill pay 9201 #112,143.32,Utilities & Bills
UBER EATS* PENDING CA,77.84,Food & Dining
UBER TRIP HELP.UBER - POSTED,12.9,Transportation
LYFT *RIDE MON WWW.ST,42.48,Transportation
TARGET STORES 0029 800-555,65.39,Shopping & Retail
EXXONMOBIL POSTED,125.71,Transportation
metro transit auth #112,120.11,Transportation
NIKE ONLINE STORE CA,30.65,Shopping & Retail
city water dist ca,73.33,Utilities & Bills
DOMINOS PIZZA - 4920 CA,128.11,Food & Dining
COMCAST///CABLE///WIRELESS///800-555,58.85,Utilities & Bills
METRO TRANSIT AUTH #112,64.56,Transportation
power & light co. - posted,72.15,Utilities & Bills
TARGET STORES 0029 WWW.ST,113.69,Shopping & Retail
UBER TRIP HELP.UBER,50.27,Transportation
STARBUCKS///COFFEE///#4921///#112,24.92,Food & Dining
nike online store,97.57,Shopping & Retail
UBER EATS* PENDING CA,81.72,Food & Dining
starbucks-cafe-WWW.ST,,Food & Dining
UBER-EATS*-PENDING---POSTED,61.1,Food & Dining
exxonmobil posted,137.16,Transportation
CITY WATER DIST - POSTED,59.98,Utilities & Bills
starbucks*cafe,11.03,Food & Dining
UBER*TRIP*HELP.UBER*800-555,60.65,Transportation
uber trip help.uber ca,73.85,Transportation
STARBUCKS///COFFEE///#4921,100.59,Food & Dining
spotify premium ca,92.45,Utilities & Bills
UBER EATS* PENDING - POSTED,,Food & Dining
power-&-light-co.-800-555,102.65,Utilities & Bills
POWER & LIGHT CO. 800-555,,Utilities & Bills
STARBUCKS COFFEE #4921 800-555,11.19,Food & Dining
UBER TRIP HELP.UBER WWW.ST,14.19,Transportation
AMAZON.COM*DIRECT - POSTED,41.58,Shopping & Retail
UBER EATS* PENDING WWW.ST,33.41,Food & Dining
POWER & LIGHT CO. - POSTED,55.98,Utilities & Bills
TARGET STORES 0029 800-555,87.66,Shopping & Retail
UBER EATS* PENDING CA,34.68,Food & Dining
AMZN MKTP US*AM201 800-555,117.92,Shopping & Retail
TARGET STORES 0029 - POSTED,88.1,Shopping & Retail
AMZN*Mktp*US*AM201*WWW.ST,60.09,Shopping & Retail
NIKE///ONLINE///STORE,66.1,Shopping & Retail
ZARA USA #112,82.91,Shopping & Retail
SHELL-OIL-92041-800-555,50.45,Transportation
MCDONALDS*F1029,85.84,Food & Dining
metro transit auth 800-555,62.41,Transportation
ZARA USA - POSTED,6.65,Shopping & Retail
target stores 0029 - posted,146.17,Shopping & Retail
STARBUCKS COFFEE #4921,132.9,Food & Dining
ATT*BILL PAY 9201 - POSTED,6.52,Utilities & Bills
UBER TRIP HELP.UBER,20.93,Transportation
att*bill pay 9201 800-555,8.44,Utilities & Bills
METRO TRANSIT AUTH CA,129.3,Transportation
AMAZON.COM*DIRECT - POSTED,120.19,Shopping & Retail
att*bill pay 9201,,Utilities & Bills
att*bill///pay///9201,29.34,Utilities & Bills
SPOTIFY PREMIUM,133.37,Utilities & Bills
ATT*BILL*PAY*9201*WWW.ST,83.44,Utilities & Bills
COMCAST CABLE WIRELESS - POSTED,97.43,Utilities & Bills
ATT*BILL-PAY-9201-#112,86.13,Utilities & Bills
UBER EATS* PENDING 800-555,19.0,Food & Dining
ZARA USA #112,100.61,Shopping & Retail
GROCERY*WHOLEFDS*CA,,Food & Dining
NIKE-ONLINE-STORE-CA,98.5,Shopping & Retail
EXXONMOBIL POSTED - POSTED,96.65,Transportation
METRO TRANSIT AUTH CA,26.07,Transportation
UBER TRIP HELP.UBER - POSTED,65.26,Transportation
POWER & LIGHT CO. WWW.ST,35.43,Utilities & Bills
nike online store 800-555,93.84,Shopping & Retail
SHELL OIL 92041 800-555,104.6,Transportation
starbucks cafe ca,43.79,Food & Dining
power-&-light-co.-www.st,54.05,Utilities & Bills
uber eats* pending www.st,11.76,Food & Dining
wal-mart super ctr www.st,132.35,Shopping & Retail
GROCERY WHOLEFDS - POSTED,,Food & Dining
COMCAST CABLE WIRELESS 800-555,64.77,Utilities & Bills
,100.5,Shopping & Retail
TARGET STORES 0029 800-555,93.41,Shopping & Retail
COMCAST CABLE WIRELESS,75.74,Utilities & Bills
POWER & LIGHT CO. 800-555,22.71,Utilities & Bills
NETFLIX.COM SUB DIGTL #112,49.52,Utilities & Bills
ZARA*USA*#112,144.71,Shopping & Retail
starbucks cafe #112,88.97,Food & Dining
LYFT**RIDE*MON,80.44,Transportation
city-water-dist-800-555,113.47,Utilities & Bills
SPOTIFY PREMIUM - POSTED,146.28,Utilities & Bills
amzn mktp us*am201 800-555,139.61,Shopping & Retail
zara usa,41.5,Shopping & Retail
MCDONALDS F1029 WWW.ST,138.8,Food & Dining
WAL-MART SUPER CTR - POSTED,40.35,Shopping & Retail
UBER TRIP HELP.UBER - POSTED,118.59,Transportation
power & light co. #112,77.84,Utilities & Bills
COMCAST CABLE WIRELESS - POSTED,71.89,Utilities & Bills
AMZN Mktp US*AM201 #112,50.66,Shopping & Retail
ZARA USA,28.22,Shopping & Retail
spotify premium #112,37.44,Utilities & Bills
ATT*BILL PAY 9201 - POSTED,,Utilities & Bills
mcdonalds f1029 #112,13.52,Food & Dining
amazon.com*direct www.st,143.56,Shopping & Retail
dominos pizza - 4920 www.st,134.66,Food & Dining
starbucks cafe ca,33.3,Food & Dining
SPOTIFY PREMIUM CA,102.0,Utilities & Bills
GROCERY-WHOLEFDS-#112,75.54,Food & Dining
ZARA USA - POSTED,26.55,Shopping & Retail
wal-mart super ctr #112,104.41,Shopping & Retail
EXXONMOBIL POSTED,120.31,Transportation
spotify premium 800-555,132.15,Utilities & Bills
shell oil 92041 - posted,41.84,Transportation
DOMINOS PIZZA - 4920 CA,,Food & Dining
WAL-MART*SUPER*CTR*CA,56.74,Shopping & Retail
spotify premium #112,51.0,Utilities & Bills
STARBUCKS-CAFE-#112,27.51,Food & Dining
SHELL///OIL///92041///-///POSTED,28.7,Transportation
METRO TRANSIT AUTH - POSTED,106.07,Transportation
mcdonalds f1029 #112,112.11,Food & Dining
target stores 0029 ca,102.69,Shopping & Retail
UBER EATS* PENDING,148.49,Food & Dining
UBER EATS* PENDING WWW.ST,124.22,Food & Dining
STARBUCKS COFFEE #4921 WWW.ST,103.02,Food & Dining
power & light co.,122.31,Utilities & Bills
MCDONALDS F1029,123.2,Food & Dining
netflix.com sub digtl 800-555,116.35,Utilities & Bills
COMCAST CABLE WIRELESS,62.03,Utilities & Bills
ATT*BILL*PAY*9201*#112,24.09,Utilities & Bills
LYFT *RIDE MON WWW.ST,148.51,Transportation
netflix.com sub digtl,100.58,Utilities & Bills
grocery*wholefds*#112,6.27,Food & Dining
